Matrix,Threads,Rows,Cols,NNZ,CustomAvgMS,MKLAvgMS,Ratio
MM_matrix_files/stokes.mtx,16,11449533,11449533,349321980,119.84,119.172,1.005605344
MM_matrix_files/stokes.mtx,8,11449533,11449533,349321980,132.037,116.823,1.130231204
MM_matrix_files/stokes.mtx,4,11449533,11449533,349321980,177.274,155.301,1.141486533
MM_matrix_files/stokes.mtx,1,11449533,11449533,349321980,297.636,255.369,1.165513434
MM_matrix_files/stokes.mtx,2,11449533,11449533,349321980,209.805,177.506,1.181960046
MM_matrix_files/HV15R.mtx,16,2017169,2017169,283073458,64.4601,64.5474,0.998647506
MM_matrix_files/HV15R.mtx,4,2017169,2017169,283073458,80.2494,75.9095,1.057172027
MM_matrix_files/HV15R.mtx,8,2017169,2017169,283073458,72.5306,68.1504,1.06427255
MM_matrix_files/HV15R.mtx,2,2017169,2017169,283073458,115.803,96.5333,1.199617127
MM_matrix_files/HV15R.mtx,1,2017169,2017169,283073458,214.842,167.467,1.282891555
MM_matrix_files/vas_stokes_4M.mtx,1,4382246,4382246,131577616,134.142,132.916,1.009223871
MM_matrix_files/vas_stokes_4M.mtx,2,4382246,4382246,131577616,89.3323,76.4638,1.168295324
MM_matrix_files/vas_stokes_4M.mtx,4,4382246,4382246,131577616,70.9402,60.5416,1.171759583
MM_matrix_files/vas_stokes_4M.mtx,8,4382246,4382246,131577616,59.7083,49.1113,1.215775188
MM_matrix_files/vas_stokes_4M.mtx,16,4382246,4382246,131577616,53.2166,43.3263,1.228274743
MM_matrix_files/cage15.mtx,2,5154859,5154859,99199551,52.4741,46.3443,1.132266535
MM_matrix_files/cage15.mtx,16,5154859,5154859,99199551,36.7654,31.633,1.162248285
MM_matrix_files/cage15.mtx,1,5154859,5154859,99199551,88.1666,75.6497,1.165458687
MM_matrix_files/cage15.mtx,4,5154859,5154859,99199551,44.4442,37.8514,1.174175856
MM_matrix_files/cage15.mtx,8,5154859,5154859,99199551,39.9552,31.8166,1.255797288
MM_matrix_files/circuit5M.mtx,16,5558326,5558326,59524291,37.0375,40.5153,0.914160823
MM_matrix_files/circuit5M.mtx,2,5558326,5558326,59524291,48.7,41.5163,1.173033242
MM_matrix_files/circuit5M.mtx,8,5558326,5558326,59524291,47.0118,38.9488,1.207015364
MM_matrix_files/circuit5M.mtx,4,5558326,5558326,59524291,44.9086,36.2778,1.237908583
MM_matrix_files/circuit5M.mtx,1,5558326,5558326,59524291,67.0067,52.773,1.269715574
MM_matrix_files/FullChip.mtx,1,2987012,2987012,26621990,29.4778,29.9562,0.984030017
MM_matrix_files/FullChip.mtx,2,2987012,2987012,26621990,21.4229,19.0035,1.12731339
